Season,Team,conference,team_elos,game_scores,Rank,Total Home Attendance,Average Home Attendance,Home Percent Capacity,Average Road Attendance,Road Percent Capacity,Overall Average Attendance,Overall Percent Capacity,GP,W,L
1997,Thunder,W,1658.029514893617,101.43617021276596,7,"779,943","19,023",--,"16,503",--,"17,763",--,82,56,26
1997,Timberwolves,W,1431.1256035294123,96.24705882352941,13,"699,952","17,072",--,"17,359",--,"17,215",--,82,61,21
1997,Trailblazers,W,1547.8243162790695,98.52325581395348,14,"697,727","17,017",--,"16,299",--,"16,658",--,82,45,37
1997,VAN,W,1236.7102390243901,89.1829268292683,3,"852,799","20,799",--,"15,996",--,"18,398",--,82,46,36
1997,Warriors,W,1408.4688280487806,99.64634146341463,24,"621,844","15,166",--,"16,140",--,"15,653",--,82,19,63
1997,Wizards,W,1507.4369494117645,99.2,12,"700,646","17,088",--,"16,991",--,"17,040",--,82,42,40
1998,76ers,E,1392.473040243903,93.3048780487805,21,"655,417","15,985",--,"17,403",--,"16,694",--,50,28,22
1998,Bucks,E,1457.0754792682926,94.48780487804878,23,"638,034","15,561",--,"16,439",--,"16,000",--,50,28,22
1998,Bulls,E,1713.190980582524,95.99029126213593,1,"983,517","23,988",--,"21,969",--,"22,978",--,50,13,37
1998,Cavaliers,E,1555.8893186046507,91.95348837209302,16,"694,629","16,942",--,"16,892",--,"16,917",--,50,22,28
1998,Celtics,E,1399.5524365853662,95.90243902439025,10,"743,422","18,132",--,"17,913",--,"18,022",--,50,19,31
1998,Clippers,W,1328.3683341463413,95.91463414634147,29,"408,693","9,968",--,"15,851",--,"12,909",--,50,9,41
1998,Hawks,E,1589.7803069767438,95.46511627906976,20,"660,457","16,108",--,"15,504",--,"15,806",--,50,31,19
1998,Heat,E,1630.1720724137936,94.52873563218391,13,"715,452","17,450",--,"17,047",--,"17,248",--,50,8,42
1998,Hornets,W,1567.960146153846,95.25274725274726,24,"614,861","14,996",--,"17,573",--,"16,285",--,50,31,19
