Season,Team,conference,team_elos,game_scores,Rank,Total Home Attendance,Average Home Attendance,Home Percent Capacity,Average Road Attendance,Road Percent Capacity,Overall Average Attendance,Overall Percent Capacity,GP,W,L
2003,Pelicans,W,1542.7082,93.81818181818181,19,"641,683","15,650",91.0,"16,481",105.2,"16,066",97.8,82,41,41
2003,Pistons,E,1586.1087484848483,91.12121212121212,1,"839,278","20,470",92.7,"16,053",107.4,"18,261",98.7,82,54,28
2003,Raptors,E,1396.0576670731705,90.89024390243902,10,"777,507","18,963",95.8,"16,509",109.7,"17,736",101.8,82,33,49
2003,Rockets,W,1501.5162926829266,93.7560975609756,27,"565,166","13,784",--,"17,919",123.9,"15,851",219.2,82,45,37
2003,Spurs,W,1663.9661726415088,95.5754716981132,11,"735,970","17,950",97.0,"16,559",122.1,"17,255",107.6,82,57,25
2003,Suns,W,1523.1982874999994,94.82954545454545,16,"666,559","16,257",85.5,"16,318",120.6,"16,288",100.1,82,29,53
2003,Thunder,W,1510.8633341463412,92.13414634146342,20,"637,194","15,541",91.0,"16,243",119.2,"15,892",103.5,82,37,45
2003,Timberwolves,W,1561.5951272727273,98.2840909090909,18,"643,684","15,699",82.6,"16,657",123.1,"16,178",99.4,82,58,24
2003,Trailblazers,W,1587.058150561798,95.64044943820225,6,"796,250","19,420",97.2,"16,458",122.0,"17,939",107.2,82,41,41
2003,Warriors,W,1439.033481707317,102.4390243902439,21,"634,935","15,486",79.0,"16,297",120.7,"15,891",96.0,82,37,45
2003,Wizards,E,1472.8024195121957,91.48780487804878,2,"827,092","20,172",--,"19,311",120.3,"19,742",246.0,82,25,57
2004,76ers,E,1475.3504109756097,87.98780487804878,4,"788,128","19,222",94.0,"17,672",114.0,"18,447",102.6,82,43,39
2004,Bucks,E,1513.4091459770116,97.32183908045977,14,"690,180","16,833",89.9,"16,213",104.1,"16,523",96.4,82,30,52
2004,Bulls,E,1354.4729195121954,89.6951219512195,3,"809,177","19,736",90.9,"16,517",106.9,"18,126",97.6,82,47,35
2004,Cavaliers,E,1384.709492682927,92.91463414634147,9,"749,790","18,287",88.9,"18,755",121.2,"18,521",102.8,82,42,40
2004,Celtics,E,1457.1560290697678,94.75581395348837,20,"664,248","16,201",87.0,"16,955",109.3,"16,578",97.1,82,45,37
2004,Clippers,W,1428.5291170731707,94.76829268292683,19,"665,396","16,229",--,"16,258",108.8,"16,243",217.3,82,37,45
2004,Grizzlies,W,1541.556879069767,96.09302325581395,25,"622,723","15,188",--,"16,695",108.7,"15,941",207.5,82,34,48
2004,Hawks,E,1400.8164207317075,92.8170731707317,29,"565,728","13,798",--,"16,282",98.9,"15,040",182.7,82,45,37
2004,Heat,E,1455.2170452631574,89.42105263157895,24,"624,809","15,239",77.8,"16,524",106.5,"15,881",90.4,82,13,69
2004,Jazz,W,1497.3999378048784,88.67073170731707,6,"785,330","19,154",96.2,"16,537",114.9,"17,845",104.0,82,59,23
2004,Kings,W,1649.2497882978719,101.86170212765957,13,"709,997","17,317",100.0,"17,813",122.7,"17,565",110.3,82,26,56
2004,Lakers,W,1631.251949038461,96.0673076923077,5,"785,739","19,164",99.4,"17,589",109.8,"18,376",104.1,82,50,32
2004,Magic,E,1373.4191499999997,94.03658536585365,7,"777,757","18,969",98.4,"19,380",134.4,"19,175",113.8,82,33,49
2004,Mavericks,W,1617.0567068965513,104.8735632183908,27,"589,144","14,369",83.3,"16,793",107.5,"15,581",94.8,82,36,46
2004,NY Knicks,E,1460.09188372093,91.6046511627907,2,"825,594","20,136",--,"17,452",113.6,"18,794",244.6,82,58,24
2004,Nets,E,1576.9871978494614,90.01075268817205,26,"613,051","14,952",74.8,"17,358",111.9,"16,155",91.0,82,42,40
2004,Nuggets,W,1482.3158091954022,96.83908045977012,12,"721,476","17,596",--,"17,184",111.8,"17,390",226.4,82,49,33
2004,Pacers,E,1613.8312153061229,90.41836734693878,16,"678,326","16,544",90.2,"17,710",113.6,"17,127",101.0,82,44,38
2004,Pelicans,W,1514.046106741573,90.93258426966293,28,"587,613","14,332",83.3,"16,679",106.6,"15,505",94.4,82,18,64
2004,Pistons,E,1614.0634095238095,89.43809523809524,1,"872,902","21,290",96.4,"17,127",107.8,"19,209",101.2,82,54,28
2004,Raptors,E,1404.1303048780478,85.4390243902439,8,"750,608","18,307",92.5,"16,480",105.8,"17,394",98.3,82,33,49
2004,Rockets,W,1565.1604551724135,89.48275862068965,22,"640,794","15,629",84.5,"17,768",122.9,"16,698",101.3,82,51,31
2004,Spurs,W,1688.949664130435,91.23913043478261,10,"739,706","18,041",97.5,"17,347",119.9,"17,694",107.4,82,59,23
2004,Suns,W,1449.064352439024,94.1829268292683,17,"670,385","16,350",86.0,"16,461",114.0,"16,406",98.1,82,62,20
2004,Thunder,W,1492.822164634146,97.1219512195122,23,"625,474","15,255",91.6,"16,842",115.9,"16,049",102.9,82,52,30
2004,Timberwolves,W,1635.1831119999997,94.08,11,"723,071","17,635",92.8,"17,862",123.7,"17,749",106.1,82,44,38
2004,Trailblazers,W,1517.672836585366,90.73170731707317,15,"684,038","16,683",83.5,"16,282",113.1,"16,483",95.9,82,27,55
2004,Warriors,W,1474.6076256097563,93.28048780487805,18,"665,648","16,235",82.9,"15,885",110.2,"16,060",94.5,82,34,48
2004,Wizards,E,1381.4574695121953,91.8048780487805,21,"645,363","15,740",--,"16,008",96.9,"15,874",192.3,82,45,37
2005,76ers,E,1456.4598632183906,98.64367816091954,10,"732,686","17,870",87.4,"17,933",111.6,"17,902",98.1,82,38,44
2005,Bucks,E,1440.8331012195124,97.23170731707317,25,"637,009","15,536",83.0,"16,651",99.4,"16,094",90.8,82,40,42
2005,Bulls,E,1463.0417295454542,95.0,2,"828,384","20,204",93.1,"17,334",107.2,"18,769",99.1,82,41,41
2005,Cavaliers,E,1492.1224146341463,96.51219512195122,6,"784,249","19,128",93.0,"18,275",109.5,"18,701",100.4,82,50,32
2005,Celtics,E,1498.2333932584263,100.20224719101124,24,"656,081","16,001",85.9,"17,216",105.1,"16,609",94.9,82,33,49
2005,Clippers,W,1460.3311097560982,95.71951219512195,18,"696,181","16,980",--,"16,735",99.3,"16,857",200.1,82,47,35
2005,Grizzlies,W,1560.0634848837208,93.86046511627907,19,"691,362","16,862",91.6,"16,621",107.4,"16,742",98.8,82,45,37
2005,Hawks,E,1302.4700621951217,92.7439024390244,29,"586,390","14,302",--,"16,730",97.2,"15,516",180.3,82,49,33
2005,Heat,E,1634.42977628866,101.0,4,"815,143","19,881",101.4,"18,891",116.3,"19,386",108.2,82,26,56
2005,Hornets,W,1278.0913463414638,94.2560975609756,28,"591,701","14,431",60.6,"16,717",104.7,"15,574",78.3,82,52,30
2005,Jazz,W,1435.857814634146,92.98780487804878,8,"769,014","18,756",94.2,"16,923",109.7,"17,839",101.0,82,26,56
2005,Kings,W,1586.1372379310346,103.63218390804597,13,"709,997","17,317",100.0,"17,702",110.9,"17,509",105.2,82,41,41
2005,Lakers,W,1521.7652634146336,98.71951219512195,5,"800,144","19,515",101.2,"17,540",104.7,"18,528",102.8,82,44,38
2005,Magic,E,1420.9937268292686,99.51219512195122,7,"770,494","18,792",97.5,"18,810",121.8,"18,801",108.3,82,23,59
2005,Mavericks,W,1630.7071031578946,102.86315789473684,27,"597,942","14,583",84.6,"17,510",106.9,"16,047",95.4,82,36,46
2005,NY Knicks,E,1427.1802097560983,97.28048780487805,3,"822,533","20,061",--,"17,259",105.8,"18,660",228.8,82,60,22
2005,Nets,E,1455.1752779069773,91.66279069767442,26,"618,681","15,089",75.5,"16,624",102.9,"15,857",87.7,82,49,33
2005,Nuggets,W,1525.7447804597705,98.98850574712644,12,"723,949","17,657",--,"17,506",101.4,"17,582",203.7,82,44,38
2005,Pacers,E,1544.6736168421048,91.76842105263158,17,"696,764","16,994",92.6,"16,895",104.3,"16,944",98.1,82,41,41
2005,Pelicans,W,1372.631874390244,88.4390243902439,30,"583,070","14,221",82.7,"16,690",107.6,"15,456",94.5,82,38,44
2005,Pistons,E,1613.091788785048,92.62616822429906,1,"905,116","22,076",100.0,"17,868",110.8,"19,972",104.6,82,64,18
2005,Raptors,E,1428.540598780488,99.73170731707317,16,"703,388","17,155",86.6,"16,677",100.1,"16,916",92.8,82,27,55
2005,Rockets,W,1569.5838516853933,95.26966292134831,23,"663,444","16,181",87.5,"18,183",111.1,"17,182",98.6,82,34,48
2005,Spurs,W,1713.9145790476189,96.35238095238095,9,"750,970","18,316",99.0,"17,419",113.0,"17,868",105.4,82,63,19
2005,Suns,W,1637.2827134020617,110.65979381443299,11,"726,066","17,708",93.1,"17,570",114.1,"17,639",102.5,82,54,28
2005,Thunder,W,1580.032686021506,98.89247311827957,21,"675,490","16,475",96.5,"17,029",109.5,"16,752",102.7,82,35,47
2005,Timberwolves,W,1556.0312195121953,96.7560975609756,15,"704,438","17,181",90.4,"17,874",116.0,"17,527",101.9,82,33,49
2005,Trailblazers,W,1448.2701390243903,92.9390243902439,20,"680,374","16,594",83.1,"16,658",108.4,"16,626",94.1,82,21,61
2005,Warriors,W,1428.4577853658539,98.70731707317073,22,"670,368","16,350",83.4,"16,708",108.7,"16,529",94.5,82,34,48
2005,Wizards,E,1470.6427945652167,100.48913043478261,14,"705,069","17,196",--,"16,862",98.5,"17,029",198.9,82,42,40
2006,76ers,E,1466.7106621951223,99.35365853658537,21,"677,278","16,518",80.8,"18,627",123.9,"17,573",99.1,82,35,47
2006,Bucks,E,1445.2587574712647,97.79310344827586,20,"681,337","16,617",88.8,"17,119",112.8,"16,868",99.5,82,28,54
2006,Bulls,E,1501.3196011363632,97.8409090909091,2,"868,720","21,188",97.6,"17,397",119.6,"19,292",106.4,82,49,33
2006,Cavaliers,E,1535.6092536842102,96.6,5,"792,391","19,326",94.0,"18,800",124.5,"19,063",106.9,82,50,32
2006,Celtics,E,1471.0040682926829,97.96341463414635,18,"692,873","16,899",90.7,"17,920",117.9,"17,409",102.9,82,24,58
2006,Clippers,W,1536.2212670212764,98.27659574468085,13,"712,409","17,375",--,"16,944",110.6,"17,160",223.9,82,40,42
2006,Grizzlies,W,1560.1195523255815,91.80232558139535,26,"647,533","15,793",85.8,"17,211",123.1,"16,502",101.9,82,42,40
2006,Hawks,E,1309.496004878048,97.21951219512195,29,"617,942","15,071",--,"17,067",109.5,"16,069",206.2,82,22,60
2006,Heat,E,1615.0433419047624,99.0952380952381,4,"818,149","19,954",101.8,"18,991",129.5,"19,473",113.7,82,30,52
2006,Hornets,W,1354.5640926829271,96.86585365853658,22,"671,011","16,366",--,"17,117",109.7,"16,741",214.7,82,44,38
2006,Jazz,W,1436.4769719512199,92.35365853658537,9,"751,621","18,332",92.1,"17,048",122.1,"17,690",104.5,82,33,49
2006,Kings,W,1519.0844124999996,98.75,14,"709,997","17,317",100.0,"17,101",117.9,"17,209",108.1,82,51,31
2006,Lakers,W,1520.8055168539324,99.52808988764045,6,"776,176","18,931",98.2,"17,572",120.2,"18,251",107.7,82,33,49
2006,Magic,E,1412.3433963414634,94.92682926829268,7,"774,189","18,882",97.9,"18,812",130.1,"18,847",111.7,82,33,49
2006,Mavericks,W,1677.1008685714285,99.27619047619048,27,"638,005","15,561",90.2,"17,084",116.2,"16,322",102.2,82,40,42
2006,NOK,W,1443.9674378048783,92.8170731707317,3,"824,693","20,114",--,"17,591",118.0,"18,853",252.9,82,67,15
2006,NY Knicks,E,1362.6570073170733,95.63414634146342,19,"691,543","16,866",84.4,"17,710",120.3,"17,288",99.6,82,41,41
2006,Nets,E,1538.4093935483868,93.83870967741936,16,"702,645","17,137",--,"17,637",115.0,"17,387",226.6,82,45,37
2006,Nuggets,W,1532.5354425287353,99.58620689655173,24,"663,368","16,179",88.2,"17,624",119.4,"16,902",102.1,82,35,47
2006,Pacers,E,1526.9609954545458,93.57954545454545,11,"744,920","18,168",1443.6,"16,659",105.2,"17,414",203.7,82,39,43
2006,Pistons,E,1690.9869250000002,95.91,1,"905,116","22,076",100.0,"18,637",123.9,"20,356",109.7,82,53,29
2006,Raptors,E,1406.3006365853657,101.0609756097561,17,"699,332","17,056",86.1,"16,595",109.9,"16,826",96.4,82,47,35
2006,Rockets,W,1511.1037158536583,90.08536585365853,28,"636,110","15,514",83.9,"17,554",125.5,"16,534",101.8,82,52,30
2006,Spurs,W,1683.8956399999995,96.6,8,"770,677","18,797",101.6,"18,376",130.3,"18,586",114.0,82,58,24
2006,Suns,W,1640.6407617647058,108.13725490196079,12,"730,179","17,809",93.6,"17,694",126.4,"17,751",107.5,82,61,21
2006,Thunder,W,1458.0431914634144,102.57317073170732,23,"664,157","16,198",94.9,"17,195",118.3,"16,697",105.7,82,31,51
2006,Timberwolves,W,1493.8701414634152,91.73170731707317,25,"662,167","16,150",85.0,"17,421",120.2,"16,785",100.2,82,32,50
2006,Trailblazers,W,1351.8621341463415,88.84146341463415,30,"617,019","15,049",75.3,"17,144",118.9,"16,097",93.6,82,32,50
2006,Warriors,W,1478.940003658537,98.48780487804878,10,"749,185","18,272",93.2,"16,775",112.7,"17,524",101.6,82,42,40
2006,Wizards,E,1502.9172170454551,101.6590909090909,15,"705,062","17,196",--,"17,291",110.7,"17,244",220.7,82,41,41
2007,76ers,E,1425.3158158536587,94.9390243902439,29,"608,603","14,843",72.6,"17,849",108.5,"16,346",88.6,82,40,42
2007,Bucks,E,1432.9176304878051,99.65853658536585,23,"663,629","16,186",86.5,"17,350",107.8,"16,768",96.4,82,26,56
2007,Bulls,E,1574.8223478260877,98.08695652173913,1,"912,364","22,252",102.5,"18,153",113.4,"20,202",107.1,82,33,49
2007,Cavaliers,E,1569.0393450980391,95.19607843137256,3,"837,883","20,436",99.4,"18,940",117.9,"19,688",107.5,82,45,37
2007,Celtics,E,1389.8860085365855,95.8170731707317,20,"690,576","16,843",90.4,"17,570",109.2,"17,206",99.1,82,66,16
2007,Clippers,W,1513.3890780487802,95.64634146341463,11,"755,261","18,421",--,"17,406",103.5,"17,913",213.0,82,23,59
2007,Grizzlies,W,1418.1789000000003,101.59756097560975,30,"600,836","14,654",79.6,"17,336",112.0,"15,995",94.4,82,57,25
2007,Hawks,E,1388.682174390244,93.65853658536585,26,"639,375","15,594",--,"17,170",100.7,"16,382",192.2,82,22,60
2007,Heat,E,1516.9432383720932,94.34883720930233,5,"808,541","19,720",100.6,"18,945",118.4,"19,332",108.6,82,37,45
2007,Hornets,W,1403.5883439024392,96.89024390243902,27,"637,520","15,549",81.7,"17,477",108.5,"16,513",94.0,82,15,67
2007,Jazz,W,1572.6105909090911,100.86868686868686,6,"802,214","19,566",98.3,"17,501",110.6,"18,533",103.7,82,32,50
2007,Kings,W,1491.7851731707322,101.2560975609756,16,"709,997","17,317",100.0,"17,282",112.0,"17,299",105.7,82,54,28
2007,Lakers,W,1533.0077321839083,103.03448275862068,8,"771,017","18,805",97.5,"17,984",111.9,"18,394",104.0,82,38,44
2007,Magic,E,1495.3229209302322,94.45348837209302,7,"778,415","18,985",98.5,"18,917",123.4,"18,951",109.5,82,23,59
2007,Mavericks,W,1695.088325,99.9090909090909,18,"700,887","17,094",99.1,"17,470",108.5,"17,282",103.6,82,52,30
2007,NOK,W,1451.9541341463416,95.52439024390245,4,"834,411","20,351",--,"17,821",106.6,"19,086",228.3,82,51,31
2007,NY Knicks,E,1412.140874390244,97.48780487804878,19,"693,955","16,925",84.7,"17,870",108.0,"17,398",95.2,82,34,48
2007,Nets,E,1490.2661244680855,96.62765957446808,17,"706,437","17,230",--,"18,163",111.1,"17,696",216.4,82,50,32
2007,Nuggets,W,1516.0882827586208,104.36781609195403,28,"629,750","15,359",83.7,"17,802",107.2,"16,581",94.9,82,36,46
2007,Pacers,E,1464.2923475609753,95.60975609756098,15,"731,165","17,833",92.3,"16,981",110.6,"17,407",100.4,82,56,26
2007,Pistons,E,1614.7696959183677,95.24489795918367,2,"905,116","22,076",100.0,"18,001",109.6,"20,038",104.1,82,59,23
2007,Raptors,E,1482.3032534090908,98.88636363636364,13,"748,603","18,258",92.2,"17,347",107.7,"17,802",99.2,82,41,41
2007,Rockets,W,1579.4948674157306,96.2247191011236,21,"678,362","16,545",89.4,"18,187",118.0,"17,366",102.4,82,55,27
2007,Spurs,W,1679.972166666666,97.96078431372548,9,"764,823","18,654",100.8,"17,464",110.3,"18,059",105.2,82,56,26
2007,Suns,W,1657.346649462365,109.48387096774194,10,"755,302","18,422",96.8,"18,541",120.1,"18,481",107.2,82,55,27
2007,Thunder,W,1456.089042682927,99.14634146341463,25,"654,163","15,955",93.5,"17,445",112.5,"16,700",102.5,82,20,62
2007,Timberwolves,W,1445.9526609756094,96.0609756097561,24,"655,947","15,998",84.2,"17,894",112.6,"16,946",97.1,82,22,60
2007,Trailblazers,W,1384.5836195121951,94.10975609756098,22,"670,778","16,360",81.9,"17,558",114.5,"16,959",96.0,82,41,41
2007,Warriors,W,1491.5481440860215,106.55913978494624,14,"742,267","18,104",92.4,"17,012",107.4,"17,558",99.1,82,48,34
2007,Wizards,E,1518.846598837209,103.74418604651163,12,"753,283","18,372",--,"17,270",101.5,"17,821",209.4,82,43,39
2008,76ers,E,1483.5967465909087,95.88636363636364,23,"609,675","14,870",72.7,"17,231",107.7,"16,050",88.1,82,41,41
2008,Bucks,E,1367.5353621951222,97.02439024390245,22,"639,421","15,595",83.3,"16,738",103.9,"16,167",92.8,82,34,48
2008,Bulls,E,1480.939831707317,97.32926829268293,2,"901,502","21,987",101.3,"17,353",106.0,"19,670",103.3,82,41,41
2008,Cavaliers,E,1531.466190526316,95.49473684210527,3,"839,074","20,465",99.5,"17,992",112.9,"19,228",105.4,82,66,16
2008,Celtics,E,1646.7464972222233,98.97222222222223,12,"763,584","18,624",100.0,"19,042",115.6,"18,833",107.3,82,62,20
2008,Clippers,W,1417.5492975609752,93.8048780487805,19,"692,408","16,888",--,"16,628",102.6,"16,758",206.8,82,19,63
2008,Grizzlies,W,1369.2668500000002,100.6951219512195,29,"523,578","12,770",69.4,"16,985",111.0,"14,877",88.3,82,65,17
2008,Hawks,E,1437.8146910112355,97.34831460674157,20,"667,518","16,280",--,"16,853",99.5,"16,567",195.7,82,24,58
2008,Heat,E,1343.7764634146342,91.35365853658537,8,"798,004","19,463",99.3,"17,503",109.8,"18,483",104.0,82,47,35
2008,Hornets,W,1418.0348524390242,97.0609756097561,24,"603,403","14,717",77.4,"17,294",107.9,"16,005",91.3,82,43,39
2008,Jazz,W,1625.5116627659572,105.2872340425532,5,"816,211","19,907",100.0,"17,215",112.9,"18,561",105.6,82,35,47
2008,Kings,W,1452.7099207317074,102.53658536585365,27,"580,181","14,150",81.7,"17,209",111.6,"15,680",95.8,82,48,34
2008,Lakers,W,1636.1180514563098,107.33009708737865,10,"783,739","19,115",99.1,"17,429",108.9,"18,272",103.5,82,17,65
2008,Magic,E,1573.3436543478263,103.67391304347827,11,"778,877","18,997",98.5,"18,671",118.5,"18,834",107.5,82,32,50
2008,Mavericks,W,1617.9633425287357,100.04597701149426,18,"709,346","17,301",100.3,"17,540",108.4,"17,420",104.2,82,59,23
2008,NY Knicks,E,1359.4456280487805,96.92682926829268,4,"831,738","20,286",--,"17,716",105.9,"19,001",227.2,82,50,32
2008,Nets,E,1433.7874987804873,95.8170731707317,21,"641,921","15,656",78.3,"17,610",107.3,"16,633",91.4,82,34,48
2008,Nuggets,W,1575.7037906976745,110.23255813953489,17,"711,962","17,364",--,"18,115",111.1,"17,740",217.6,82,54,28
2008,Pacers,E,1437.0906670731713,103.98780487804878,30,"501,092","12,221",66.6,"17,217",103.9,"14,719",84.3,82,36,46
2008,Pelicans,W,1596.4424414893615,100.30851063829788,26,"581,432","14,181",82.4,"16,905",109.7,"15,543",95.3,82,49,33
2008,Pistons,E,1651.252272727273,96.42424242424242,1,"905,116","22,076",100.0,"17,714",111.5,"19,895",104.8,82,39,43
2008,Raptors,E,1537.9575850574715,100.13793103448276,9,"796,835","19,435",98.2,"16,653",103.6,"18,044",100.6,82,33,49
2008,Rockets,W,1605.168905681818,96.125,16,"718,524","17,524",94.7,"17,527",114.5,"17,526",103.7,82,53,29
2008,Spurs,W,1657.04364949495,95.14141414141415,13,"761,149","18,564",100.3,"17,954",113.9,"18,259",106.6,82,54,28
2008,Suns,W,1636.3499551724137,109.51724137931035,14,"755,302","18,422",96.8,"18,046",114.7,"18,234",104.9,82,46,36
2008,Thunder,W,1349.8675719512196,97.54878048780488,28,"547,556","13,355",78.2,"17,158",108.2,"15,257",92.7,82,23,59
2008,Timberwolves,W,1330.205313414634,95.59756097560975,25,"593,537","14,476",76.2,"16,801",106.7,"15,639",90.0,82,24,58
2008,Trailblazers,W,1478.4439756097565,95.36585365853658,7,"801,566","19,550",97.8,"16,700",109.4,"18,125",102.9,82,54,28
2008,Warriors,W,1585.9288451219509,111.03658536585365,6,"804,864","19,630",100.2,"17,255",112.6,"18,443",105.6,82,29,53
2008,Wizards,E,1479.0200534090914,98.375,15,"736,461","17,962",--,"16,774",99.2,"17,368",205.4,82,19,63
2009,76ers,E,1503.0488647727275,96.79545454545455,23,"647,898","15,802",79.7,"17,358",89.5,"16,570",84.5,82,27,55
2009,Bucks,E,1423.4101219512195,99.29268292682927,24,"630,976","15,389",82.2,"16,947",87.3,"16,168",84.8,82,46,36
2009,Bulls,E,1474.261547191011,102.65168539325843,2,"847,903","21,197",97.6,"17,558",93.6,"19,355",95.7,82,41,41
2009,Cavaliers,E,1686.1954895833333,99.88541666666667,5,"820,439","20,010",97.3,"18,899",97.9,"19,455",97.6,82,61,21
2009,Celtics,E,1702.1227083333333,101.09375,12,"763,584","18,624",100.0,"18,975",98.2,"18,799",99.1,82,50,32
2009,Clippers,W,1327.437067073171,95.10975609756098,22,"646,830","16,170",84.8,"17,202",89.9,"16,692",87.4,82,29,53
2009,Grizzlies,W,1332.2448475609754,93.8780487804878,29,"509,806","12,745",70.3,"17,101",89.3,"14,949",80.2,82,57,25
2009,Hawks,E,1523.054848387097,96.45161290322581,20,"686,688","16,748",89.4,"17,303",89.6,"17,025",89.5,82,40,42
2009,Heat,E,1452.2687359550557,97.50561797752809,15,"729,178","18,229",93.0,"18,150",93.7,"18,189",93.4,82,53,29
2009,Hornets,W,1448.594837804878,93.6219512195122,26,"581,049","14,526",76.3,"17,310",89.5,"15,935",83.0,82,47,35
2009,Jazz,W,1588.8517471264365,103.20689655172414,6,"816,042","19,903",100.0,"17,038",89.2,"18,470",94.7,82,44,38
2009,Kings,W,1350.9132536585364,100.58536585365853,30,"502,852","12,571",72.6,"17,227",89.8,"14,928",81.7,82,53,29
2009,Lakers,W,1720.7080666666673,105.93333333333334,7,"790,801","19,287",97.6,"17,729",91.7,"18,518",94.7,82,25,57
2009,Magic,E,1649.763388679246,100.12264150943396,8,"778,877","18,997",99.7,"19,268",100.8,"19,130",100.2,82,29,53
2009,Mavericks,W,1571.6329510869568,101.72826086956522,18,"698,768","17,043",97.6,"17,900",92.0,"17,466",94.7,82,59,23
2009,NY Knicks,E,1402.1128256097563,105.20731707317073,4,"821,723","20,042",104.4,"17,102",89.6,"18,572",97.0,82,55,27
2009,Nets,E,1441.972681707317,98.09756097560975,25,"621,062","15,147",75.8,"17,586",91.0,"16,367",83.3,82,12,70
2009,Nuggets,W,1605.673822448979,104.91836734693878,17,"706,165","17,223",89.9,"17,227",90.2,"17,225",90.1,82,53,29
2009,Pacers,E,1464.1336914634146,105.08536585365853,28,"581,472","14,182",78.1,"16,628",85.7,"15,405",82.0,82,32,50
2009,Pelicans,W,1590.729436781609,95.14942528735632,19,"695,727","16,968",98.7,"17,702",92.2,"17,331",95.3,82,37,45
2009,Pistons,E,1532.7718034883721,93.47674418604652,1,"896,971","21,877",99.1,"18,024",93.6,"19,950",96.5,82,27,55
2009,Raptors,E,1456.4579207317072,99.03658536585365,10,"769,707","18,773",94.8,"16,785",87.1,"17,779",91.0,82,40,42
2009,Rockets,W,1616.9809547368425,97.46315789473684,16,"699,280","17,482",96.9,"17,589",91.7,"17,536",94.2,82,42,40
2009,Spurs,W,1616.2168126436784,96.66666666666667,14,"749,048","18,269",97.2,"17,626",92.3,"17,951",94.8,82,50,32
2009,Suns,W,1560.1160097560978,109.4390243902439,13,"755,302","18,422",100.0,"18,122",94.6,"18,272",97.3,82,54,28
2009,Thunder,W,1317.0346097560973,96.97560975609755,11,"747,732","18,693",97.7,"16,679",87.2,"17,674",92.4,82,50,32
2009,Timberwolves,W,1368.5171158536582,97.79268292682927,27,"594,743","14,505",74.9,"16,845",88.1,"15,661",81.4,82,15,67
2009,Trailblazers,W,1569.3183420454545,98.5909090909091,3,"841,499","20,524",102.7,"17,167",89.8,"18,866",96.5,82,50,32
2009,Warriors,W,1453.1146048780486,108.59756097560975,9,"776,660","18,942",96.7,"16,942",88.8,"17,942",92.8,82,26,56
2009,Wizards,E,1363.856463414634,96.0609756097561,21,"681,117","16,612",82.4,"17,157",88.7,"16,884",85.4,82,26,56
2010,76ers,E,1425.4501817073176,97.73170731707317,26,"583,219","14,224",70.0,"16,889",88.0,"15,556",78.7,82,41,41
2010,Bucks,E,1498.8626573033705,97.06741573033707,24,"619,453","15,108",80.7,"16,823",87.2,"15,965",84.0,82,35,47
2010,Bulls,E,1484.3601747126431,97.44827586206897,1,"849,760","20,725",99.1,"17,735",92.2,"19,230",95.8,82,62,20
2010,Cavaliers,E,1715.1347806451618,101.88172043010752,2,"843,042","20,562",100.0,"19,200",100.2,"19,881",100.1,82,19,63
2010,Celtics,E,1620.729128301887,98.00943396226415,9,"744,961","18,169",97.6,"18,154",93.9,"18,161",95.7,82,56,26
2010,Clippers,W,1365.914741463415,95.71951219512195,20,"670,063","16,343",85.7,"16,225",85.3,"16,284",85.5,82,32,50
2010,Grizzlies,W,1469.021185365854,102.48780487804878,28,"552,914","13,485",74.4,"16,691",87.6,"15,088",81.2,82,57,25
2010,Hawks,E,1586.738110752688,100.23655913978494,18,"678,375","16,545",88.3,"17,097",88.5,"16,821",88.4,82,46,36
2010,Heat,E,1526.755812643678,96.0,15,"726,935","17,730",90.5,"18,040",93.8,"17,885",92.1,82,44,38
2010,Hornets,W,1516.7150511627908,94.82558139534883,22,"648,790","15,824",82.9,"16,256",84.7,"16,040",83.8,82,58,24
2010,Jazz,W,1599.0065010869569,104.54347826086956,6,"794,512","19,378",97.3,"17,095",89.9,"18,237",93.7,82,34,48
2010,Kings,W,1348.9213902439021,100.0,29,"543,416","13,254",76.5,"16,973",88.9,"15,113",83.0,82,39,43
2010,Lakers,W,1684.1989523809523,101.56190476190476,5,"799,550","19,501",98.7,"17,315",90.0,"18,408",94.4,82,24,58
2010,Magic,E,1663.3448177083335,101.85416666666667,7,"778,877","18,997",99.7,"19,265",101.2,"19,131",100.4,82,42,40
2010,Mavericks,W,1601.472668181818,101.375,17,"715,901","17,461",100.0,"17,838",92.2,"17,649",95.9,82,52,30
2010,NY Knicks,E,1403.0687865853658,102.10975609756098,4,"819,770","19,994",104.1,"17,129",90.2,"18,561",97.2,82,57,25
2010,Nets,E,1304.6722158536586,92.3780487804878,30,"537,230","13,103",69.1,"16,446",85.4,"14,774",77.3,82,24,58
2010,Nuggets,W,1626.1860170454545,106.64772727272727,13,"737,812","17,995",93.9,"17,446",91.9,"17,720",92.9,82,50,32
2010,Pacers,E,1427.382041463415,100.76829268292683,27,"582,295","14,202",78.2,"16,955",87.9,"15,578",83.2,82,37,45
2010,Pelicans,W,1470.5429780487802,100.2439024390244,23,"620,366","15,130",88.5,"17,168",89.8,"16,149",89.2,82,46,36
2010,Pistons,E,1396.7273890243898,94.01219512195122,8,"768,826","18,751",84.9,"17,104",89.4,"17,928",87.0,82,30,52
2010,Raptors,E,1476.768113414634,104.07317073170732,14,"733,784","17,897",90.4,"16,466",85.9,"17,181",88.2,82,22,60
